State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Brinjal,Round,Local,29/11/2024,2500,3000,3000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Knool Khol","Knool Khol",Local,29/11/2024,6000,8000,8000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Lemon,Lemon,Local,29/11/2024,12000,14000,14000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,29/11/2024,3300,4000,4000
"Uttar Pradesh",Fatehpur,Jahanabad,"Green Chilli","Green Chilly",FAQ,29/11/2024,1000,1002,1001
"Uttar Pradesh",Hathras,Shadabad,Potato,Desi,FAQ,29/11/2024,1500,1600,1550
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bitter gourd","Bitter Gourd",FAQ,29/11/2024,900,1100,1000
Bihar,Rohtas,"Kochas (Balthari)",Onion,Medium,FAQ,29/11/2024,4400,4600,4500
Gujarat,Narmada,Rajpipla,Cotton,"Cotton (Unginned)",FAQ,29/11/2024,6878,7811,7314
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Brinjal,Brinjal,FAQ,29/11/2024,3200,3300,3250
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Cabbage,Cabbage,FAQ,29/11/2024,2800,3000,2900
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Capsicum,Capsicum,FAQ,29/11/2024,4500,4600,4550
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,FAQ,29/11/2024,5000,5200,5100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,29/11/2024,3200,3300,3250
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Green Chilli","Green Chilly",FAQ,29/11/2024,3600,4600,4100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Guava,Guava,Medium,29/11/2024,5400,5500,5450
"Himachal Pradesh",Kangra,Palampur,Coriander(Leaves),Coriander,FAQ,29/11/2024,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Cucumbar(Kheera),Other,FAQ,29/11/2024,3800,4000,3900
"Himachal Pradesh",Kangra,Palampur,"Mousambi(Sweet Lime)",Other,Medium,29/11/2024,5800,6000,5900
"Himachal Pradesh",Kangra,Palampur,"Persimon(Japani Fal)",Other,Medium,29/11/2024,11500,12000,11700
"Himachal Pradesh",Kangra,Palampur,Raddish,Raddish,FAQ,29/11/2024,1500,1600,1550
Kerala,Alappuzha,Harippad,"Banana - Green",Other,FAQ,29/11/2024,4000,4500,4000
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,29/11/2024,4000,4500,4000
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,29/11/2024,6000,6500,6000
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,29/11/2024,4000,4500,4000
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,29/11/2024,7000,7600,7000
Kerala,Pathanamthitta,"Mezhuveli  VFPCK",Banana,"Nendra Bale",Large,29/11/2024,2000,7200,6200
Kerala,Pathanamthitta,"Mezhuveli  VFPCK",Cowpea(Veg),"Cowpea (Veg)",FAQ,29/11/2024,7000,7500,7100
Kerala,Pathanamthitta,"Mezhuveli  VFPCK",Cucumbar(Kheera),Other,FAQ,29/11/2024,1500,3000,2100
Kerala,Thirssur,Irinjalakkuda,"Bhindi(Ladies Finger)",Other,FAQ,29/11/2024,3800,3800,3800
Kerala,Thirssur,Irinjalakkuda,Coriander(Leaves),Coriander,FAQ,29/11/2024,7000,7000,7000
Kerala,Thirssur,Irinjalakkuda,Cowpea(Veg),Other,FAQ,29/11/2024,4500,4500,4500
"Madhya Pradesh",Raisen,Bareli,Paddy(Dhan)(Common),Paddy,FAQ,29/11/2024,2901,3001,3001
"Madhya Pradesh",Seoni,Seoni,Maize,Yellow,FAQ,29/11/2024,80,2320,2200
Punjab,kapurthala,Sultanpur,"Peas Wet",Other,FAQ,29/11/2024,2900,3000,3000
Punjab,Ludhiana,Sahnewal,Potato,Potato,FAQ,29/11/2024,2400,2400,2400
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Banana - Green","Banana - Green",Local,29/11/2024,1200,1500,1500
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Beans,"Beans (Whole)",Local,29/11/2024,6000,8000,8000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,29/11/2024,2500,3000,3000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Carrot,Pusakesar,Local,29/11/2024,6000,8000,8000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Cluster beans","Cluster Beans",Local,29/11/2024,3300,4000,4000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Drumstick,Drumstick,Local,29/11/2024,16000,20000,20000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Guava,"Guava Alahabad",Local,29/11/2024,2500,3000,3000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Onion,Bellary,Local,29/11/2024,5000,6000,6000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Papaya,Papaya,Local,29/11/2024,2500,3000,3000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Tamarind Fruit","Tamarind Fruit",Local,29/11/2024,8000,10000,10000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Tomato,Deshi,Local,29/11/2024,3300,4000,4000
